Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
30,30,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,4.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
31,31,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,5.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
32,32,488.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,6.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
33,33,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,6.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
34,34,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,,,,7.0,,,,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
35,35,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,2.0,,,,1.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
36,36,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,3.0,,,,1.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
37,37,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,3.0,,,,2.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
38,38,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,4.0,,,,1.0,,,,0.0,0.0,1,1,LC3-p62,dATG7,Torin,10Pos_3
39,39,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,6.0,,,,1.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
40,40,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,6.0,,,,2.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
41,41,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,7.0,,,,1.0,,,,0.0,0.0,1,1,LC3-p62,dATG7,Torin,10Pos_3
42,42,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,8.0,,,,1.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
43,43,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,8.0,,,,2.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
44,44,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,9.0,,,,1.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
45,45,561.0,0.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,9.0,,,,2.0,,,,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
0,0,488.0,4.0,LC3-p62_HEK_dATG7_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,6001.75,672.3324450498181,0.0,1.0,42.75,42.405777908204925,171.0,0.0,0.0,2,2,LC3-p62,dATG7,No Torin,10Pos_3
1,1,488.0,12.0,LC3-p62_HEK_dATG7_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,6099.75,901.1529105439424,0.0,2.0,73.33333333333333,56.9662313581609,880.0,0.0,0.0,2,2,LC3-p62,dATG7,No Torin,10Pos_3
2,2,561.0,2.0,LC3-p62_HEK_dATG7_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,6167.5,1304.6120112891801,0.0,1.0,76.5,3.5355339059327378,153.0,0.0,0.0,2,2,LC3-p62,dATG7,No Torin,10Pos_3
3,3,561.0,6.0,LC3-p62_HEK_dATG7_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,5301.0,692.6121569825352,0.0,2.0,21.66666666666667,6.713171133426187,130.0,0.0,0.0,2,2,LC3-p62,dATG7,No Torin,10Pos_3
4,4,488.0,70.0,LC3-p62_HEK_dATG7_No Torin_10Pos_3_AiryscanProcessing.czi,1.0,6804.142857142857,1129.1436576387973,0.0,1.0,107.12857142857143,66.66092470096389,7499.0,0.0,1.0,1,1,LC3-p62,dATG7,No Torin,10Pos_3
5,5,561.0,4.0,LC3-p62_HEK_dATG7_No Torin_10Pos_3_AiryscanProcessing.czi,1.0,5265.25,672.4127576620381,0.0,1.0,28.75,27.82534815595305,115.0,0.0,1.0,1,1,LC3-p62,dATG7,No Torin,10Pos_3
