Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
85,85,488.0,8.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,27.0,5946.25,1116.1613746612604,0.0,2.0,61.25,34.1205844867037,490.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
86,86,488.0,22.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,28.0,7384.181818181818,2458.768054599772,0.0,1.0,78.95454545454545,62.51893219751025,1737.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
87,87,488.0,26.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,28.0,6844.346153846153,2490.71250757381,0.0,2.0,75.53846153846153,69.3790923948884,1964.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
88,88,561.0,13.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,28.0,4661.692307692308,538.6955517134863,0.0,1.0,21.923076923076927,23.662422877005987,285.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
89,89,561.0,3.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,28.0,4110.666666666667,213.45803646931012,0.0,2.0,58.66666666666666,34.06366588218792,176.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
90,90,488.0,18.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,29.0,8347.5,2685.478098523065,0.0,1.0,100.5,50.328625932319014,1809.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
91,91,488.0,31.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,29.0,7936.322580645161,3168.1391950385932,0.0,2.0,110.51612903225808,119.28924817930073,3426.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
92,92,561.0,4.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,29.0,4160.0,631.3541003272253,0.0,1.0,21.5,22.47220505424423,86.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
93,93,561.0,12.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,29.0,4245.0,720.6377226267907,0.0,2.0,13.333333333333336,15.34650290832252,160.0,0.0,0.0,2,2,LC3-WIPI,dATG7,NoTreat,40pos
94,94,488.0,19.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,30.0,8655.736842105263,3301.4545084470005,0.0,1.0,105.10526315789473,94.9297370203891,1997.0,0.0,0.0,2,5,LC3-WIPI,dATG7,NoTreat,40pos
95,95,488.0,22.0,LC3-WIPI_HEK_dATG7_NoTreat_40pos_Airyscan Processing.czi,30.0,8084.818181818182,2752.07309974142,0.0,2.0,94.36363636363636,47.57905246814226,2076.0,0.0,0.0,2,5,LC3-WIPI,dATG7,NoTreat,40pos
