file,image,start_slice,end_slice
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,14,10,38
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,15,7,41
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,16,14,41
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,17,10,42
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,18,7,39
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_1_AiryscanProcessing.czi,19,17,35
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,0,14,52
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,1,15,50
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,2,15,44
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,3,10,48
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,4,14,52
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,5,11,54
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,6,16,59
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,7,12,53
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,8,15,44
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,9,15,41
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,10,3,39
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,11,14,44
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,12,12,48
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,13,13,51
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,14,7,47
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,15,16,48
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,16,13,46
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,17,10,47
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,18,15,45
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_WT_NoTreat_20Pos_2_AiryscanProcessing.czi,19,13,38
